Facility Code,Facility UID,State Unique ID,Registration No,Alternate Name,Start Date,Ownership,Ownership Type,Facility Level,Facility Level Option,Days of Operation,Hours of Operation,State,LGA,Ward,Physical Location,Postal Address,Longitude,Latitude,Phone Number,Alternate Number,Email Address,Website,Operational Status,Registration Status,License Status,Out Patient Services,In Patient Services,Medical Services,Surgical Services,Obsterics and Gynecology Services,Pediatrics Services,Dental Services,Specific Clinical Services,Total number of Beds,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Mortuary Services,Ambulance Services,Number of Doctors,Number of Pharmacists,Number Pharmacy Technicians,Number of Dentists,Number of Dental Technicians,Number of Nurses,Number of Midwifes,Number of Nurses/Midwifes,Number of Lab Technicians,Number of Lab Scientits,Health Records/HIM Officers,Number of Community Health Officer,Number of Community Health Extension Worker,Number of Junior Com Health Extension Worker,Number of Environmental Health Officers,Number of Health Attendant/Assistant:
04/13/1/1/1/0032,53542505,53542505,,,2000-01-01,Public,Local Government,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4pm,Anambra,Njikoka,Abagana ward 1,near ezi Agbalanze Abagana,,6.97123,6.17439,0903-008-2344,,,,Operational,Registered,Licensed,Yes,,,,,,,"Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization",1,,,,,No,,,,,,,,,,,,,2,,,
04/13/1/1/1/0002,52681754,52681754,,,1996-10-28,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4.00,Anambra,Njikoka,Abagana ward 3,sectariat Abagana,,6.99176,6.18389,0703-291-2044,,,,Operational,Registered,Licensed,Yes,,,,,,,"Immunization, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition",2,,,,,No,,,,,,,,,,,,1,2,,,1
04/13/1/3/1/0001,66037514,66037514,,,2000-11-04,Public,Federal Government,Secondary,Teaching Hospital,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",8am to 4.00,Anambra,Njikoka,Abagana ward 3,Ofozalla near former barrack 2 Abagana,,6.17436,6.17793,0803-958-3329,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",10,Yes,,Yes,,No,1,3,2,1,,14,,3,,1,,,,,,3
04/13/1/1/1/0003,24803400,24803400,,,1995-11-01,Public,Local Government,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Abagana ward 4,Abagana near Oye agu Market,,6.184698,6.964654,0806-451-0087,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",18,,,,,No,,,,,,,,1,,,,,4,,,2
04/13/1/2/2/0040,51656084,51656084,,,2016-11-11,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Abagana ward 4,Abagana near Oyeagu,,6.95766,6.18496,0803-676-2142,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",15,No,No,Yes,No,No,1,,2,1,,5,1,,,,,,,,,2
04/13/1/1/1/0004,64011513,64011513,,,2000-11-04,Public,Local Government,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Abba I,Abba town hall,,6.9446,6.20412,0803-768-6105,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Nutrition, Health Education and Community Mobilization",5,,,,,No,,,,,,,,1,,,,,3,,,2
04/13/1/1/1/0015,81731811,81731811,,,2016-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24 hrs,Anambra,Njikoka,Abba I,Ire Abba town hall,,7.00647,6.22842,0806-673-6358,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",5,,,,,No,,,,,,,,,,,,,4,,,2
04/13/1/1/1/0022,23679406,23679406,,,2006-11-04,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4pm,Anambra,Njikoka,Enugwu Agidi 1,near Igwe house Enugwu agidi,,6.99822,6.22345,0803-591-6026,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Nutrition, Health Education and Community Mobilization",2,,,,,No,,,,,,,,,,,,,1,,,1
04/13/1/1/2/0001,65534097,65534097,,,2016-11-05,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4.00,Anambra,Njikoka,Enugwu Agidi II,Achala Enugwu Agidi  Town hall,,7.01583,6.23117,0703-370-8620,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Nutrition, Health Education and Community Mobilization",2,,,,,No,,,,,,,,,,,,,2,,,1
04/13/1/1/1/0033,46648297,46648297,,,2019-05-29,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4.00,Anambra,Njikoka,Enugwu Agidi II,Ifite Hall Enugwu Agidi,,7.01459,6.21633,08036508029,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Nutrition, Health Education and Community Mobilization",1,No,No,No,No,No,,,,,,,,,,,,,2,,,
04/13/1/1/1/0032,24799522,24799522,,,2000-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8.00am to 4,Anambra,Njikoka,Enugwu Ukwu 1,Ukwuogbu Enugwuukwu,,7.01492,6.17792,0806-396-1449,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",1,No,No,No,No,No,,,,,,,,,,,,1,4,,,
04/13/1/1/1/0008,67493104,67493104,,,2000-11-03,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4.00,Anambra,Njikoka,Enugwu Ukwu 1,NEAR ENUGWUUKWU G H,,7.02615,6.17482,0803-219-2173,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",,,,,,No,,,,,,,,,,,,,3,,,
04/13/1/1/1/0011,23717890,23717890,,,1990-01-04,Public,State Government,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Enugwu Ukwu 1,OnOnitsha Awka road between Nawfia and Enugwu ukwu,,7.00604,6.16949,0803-360-4894,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",49,Yes,,Yes,Yes,Yes,8,2,,,1,36,,6,,6,1,,6,,,4
04/13/1/1/1/0031,63896321,63896321,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Enugwu Ukwu 1,Uruogbo town hall,,6.171621,6.999726,0803-216-4838,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",7,,,,,No,,,,,,,,1,,,,,3,,,1
04/13/1/1/1/0005,31894490,31894490,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Enugwu Ukwu 2,Adagbe Avomimi town hall,,7.01107,6.16312,080-397-6521,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",6,,,,,No,,,,,,,,1,,,,,2,,,2
04/13/1/1/1/0014,30861722,30861722,,,2000-01-02,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4pm,Anambra,Njikoka,Enugwu Ukwu 2,uruekwo town hall Enugwukwu,,6.1703756,6.77766,0803-778-3576,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Nutrition, Health Education and Community Mobilization",1,,,,,No,,,,,,,,,,,,,2,1,,
04/13/1/1/1/0012,20624524,20624524,,,2000-02-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4pm,Anambra,Njikoka,Enugwu Ukwu 3,Etiti osili town hall,,7.00442,6.17549,0803-484-9170,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",1,,,,,No,,,,,,,,,,,,,3,,,
04/13/1/1/1/0044,48068627,48068627,,,1998-07-02,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4.00,Anambra,Njikoka,Enugwu Ukwu 3,Enugwu Ukwu near Omile,,7.002929688,6.1796875,080_-643-26737,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",2,No,No,No,No,No,,,,,,,,,,,,,3,,,
04/13/1/1/1/0053,33409776,33409776,,,2000-01-01,Public,Local Government,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Enugwu Ukwu 4,near   Nkwo market Enugwu ukwu,,6.165383,7.016695,07030336542,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",8,No,No,Yes,No,No,,,,,,,,1,,,,,2,,,1
04/13/1/1/1/0034,54225164,54225164,,,2019-08-30,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8.00am to 4,Anambra,Njikoka,Nawfia I,Ifite town hall,,7.01751,6.19188,0803-650-1356,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",2,No,No,No,No,No,,,,,,,,,,,,,2,,,
04/13/1/1/1/0045,84392037,84392037,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Nawfia II,Nawfia near Psychiatrics hospital,,7.002929688,6.1796875,0806-90_-2600,0806-902-6007,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",6,No,No,No,No,No,,,,,,3,,1,,,,1,,,,2
04/13/1/3/1/0002,22306226,22306226,,,2000-01-01,Public,State Government,Tertiary,Specialized Hospital,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Nawfia II,near Afor market Nawfia,,7.02469,6.18629,0803-552-0017,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,Child Survival,37,,,,,No,2,2,,2,,18,,,1,2,,,,,,2
04/13/1/1/1/0054,49090400,49090400,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Nimo I,Awato near St Kevin Catholic church Nimo,,6.97531,6.15518,080-393-2125,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",8,No,No,No,No,No,,,,,,,,,,,,1,3,,,1
04/13/1/1/1/0030,37344680,37344680,,,2016-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8.00am to 4,Anambra,Njikoka,Nimo II,near transformer Uruokofia Nimo,,6.98971,6.17295,0803-797-0694,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",1,,,,,No,,,,,,,,,,,,,2,,,
04/13/1/1/1/0028,65670830,65670830,,,2000-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8am to 4pm,Anambra,Njikoka,Nimo II,Ekeodo nimo,,6.979372505,6.16117007,0806-413-5633,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",2,,,,,No,,,,,,,,,,,,,2,,,
04/13/1/2/2/0048,21605903,21605903,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Nimo III,Nimo near St Micheal Nimo junction,,6.99263,6.16953,0803-329-0174,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",11,Yes,No,Yes,Yes,No,3,,1,3,,3,2,1,1,,2,,,,,1
04/13/1/1/1/0035,61331365,61331365,,,2019-11-05,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8.00am to 4,Anambra,Njikoka,Nimo III,Ezira town hall near Nimo girls and boys school,,6.98204,6.15528,0806-413-5211,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",2,No,No,No,No,No,,,,,,,,,,,,,1,,,
04/13/1/2/1/0049,69766075,69766075,,,1980-01-01,Public,Local Government,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Nimo III,Nimo near post office,,6.99461416,6.1639625,0806-125-3429,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",21,Yes,No,Yes,Yes,No,1,,,1,,1,,2,,,,,,,,2
04/13/1/1/1/0050,56468193,56468193,,,1990-11-04,Public,Local Government,Primary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Njikoka,Nimo IV,Nimo near St Mary catholic church,,6.997497559,6.153503418,0706-896-9063,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",2,No,No,Yes,No,No,,,,,,,,,,,,,2,,,
04/13/1/1/1/0055,18012509,18012509,,,2000-01-01,Public,Local Government,Primary,,"Monday,Wednesday,Thursday,Friday",8am to 4.00,Anambra,Njikoka,Nimo IV,near St Marys Catholic church,,6.99657,6.14548,0902-050-0506,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",1,No,No,No,No,No,,,,,,,,,,,,1,2,,,1
04/14/1/2/2/0089,43407528,43407528,,,2019-12-06,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward I,Umuogbo Obiofia Nnewichi,,6.90655855,6.0465723,0080-367-4873,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,4,Yes,No,Yes,No,No,1,,,,,1,,1,,,,,2,,,1
04/14/1/1/2/0008,39710893,39710893,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward I,#80 Edokwe Street Abubor  Nnewichi,,6.918771,6.027194,0803-356-0232,0703-107-0269,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",,Yes,,Yes,,No,3,,1,,,,,4,1,1,1,,3,,,2
04/14/1/1/1/0068,78784691,78784691,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward I,Behind St Joseph Catholic Church Okofia,,6.940796,5.985902,0802-637-5039,0806-629-5624,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",6,No,No,No,No,No,2,,1,,,1,,2,1,,1,,,,,
04/14/1/2/2/0090,26908271,26908271,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward I,Obidiwe Rd Obiofia off St John Catholic Church Egbo,,6.903018,6.043264,0810-160-1622,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,2,No,No,No,No,No,1,,,,,4,,1,,,,,,,,3
04/20/1/1/2/0004,41978984,41978984,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward I,Abubor Nnewichi,,6.9229134,6.0278637,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",,Yes,,Yes,,No,,,,,,,,,,,,,,,,
04/14/1/1/1/0110,27175951,27175951,,,2021-04-21,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24 hours,Anambra,Nnewi North,Nnewi Ichi ward I,Old oba Nnewi Road Nigeria,,6.76653,6.55364,0806-611-0944,0903-646-7236,,,Operational,Not Applicable,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Child Survival, Nutrition",2,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
04/14/1/1/2/0042,29664648,29664648,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward I,Near UKwu Cashew Junction Nnewichi,,6.9352651,6.033746,0803-669-5888,0803-896-1217,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",22,Yes,,Yes,,No,2,,,,,,,10,,1,1,,5,2,,2
04/14/1/2/2/0070,57094147,57094147,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward II,Near Orie Agbo Market Abubo Nnewichi,,6.926556,6.027233,0803-674-7874,0806-313-8302,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",12,Yes,No,Yes,No,No,2,,1,,,,1,1,1,1,1,,1,,,15
04/14/1/2/2/0094,57978132,57978132,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward II,Opposite St Peters Clever Odida Nnewichi,,6.919404,6.0353876,0806-072-4570,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",6,No,No,Yes,No,No,1,,,,,2,,1,,,,,,,,3
04/14/1/2/2/0097,16035113,16035113,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward II,Off Izundu Rd Abubor Nnewichi,,6.922952,6.027945,0703-919-3235,,,,Operational,Registered,Licensed,Yes,,,,,,,"HIV/ AIDS Services, Non Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",,Yes,No,Yes,No,No,1,,,,,3,,1,,,,,2,,,2
04/14/1/1/2/0044,23148179,23148179,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Nnewi Ichi ward II,Near Ekanka Church Odida,,6.9140375,6.0347983,0803-401-9072,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"HIV/ AIDS Services, Non Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",8,,,,,No,2,1,1,,,2,,2,1,1,,,,,,5
04/14/1/2/2/0107,71264786,71264786,,,2020-09-14,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24 hours,Anambra,Nnewi North,Nnewi Ichi ward II,Along Oba Road Nnewi,,6.30313,6.15247,0816-582-3706,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care, Scanning",13,No,No,No,No,No,2,2,0,2,0,6,7,7,2,2,2,0,0,0,0,7
04/14/1/2/2/0073,63034154,63034154,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Otolo ward I,No 12 Metu Road Umuanuka Otolo,,6.932035,6.0249641,0803-379-6932,0905-071-8677,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",10,Yes,No,Yes,No,No,1,,4,,,,,7,1,1,1,,2,,,3
04/14/1/2/2/0006,58485681,58485681,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Otolo ward I,At St Thomas Anglican Church Okigwe Rd,,6.925783,6.003795,0803-897-3458,0806-355-6495,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Hepatitis, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",148,Yes,Yes,Yes,Yes,Yes,9,2,1,,,,,6,3,1,,,,,,5
04/14/1/2/2/0100,17443378,17443378,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Otolo ward I,Jideofor  Road Okpuno  Otolo,,6.9195653,6.0002237,0806-920-6176,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"HIV/ AIDS Services, Non Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",22,Yes,No,Yes,No,No,3,,,,,9,,,,,,,,,,2
04/14/1/2/2/0104,65577352,65577352,,Balsin Van Gileed,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Anambra,Nnewi North,Otolo ward I,Izuchukwu Road by Ikedife Market,,6.923451,6.0272584,0810-366-5314,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"HIV/ AIDS Services, Non Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education and Community Mobilization",5,No,No,No,No,No,1,,,,,3,,1,,,,,,,,1
